sketch,"phác thảo","động từ","She likes to sketch portraits."
ivory,"ngà voi","tính từ","The piano keys are ivory."
piano,"đàn piano","danh từ","He plays the piano beautifully."
practice,"luyện tập","động từ","She practices the piano daily."
peach,"đào","tính từ","The fruit is peach."
orchard,"vườn cây ăn quả","danh từ","The orchard is full of peaches."
pick,"hái","động từ","We pick peaches from the orchard."
cherry,"anh đào","tính từ","The cake has cherry on top."
bakery,"tiệm bánh","danh từ","The bakery smells delicious."
bake,"nướng","động từ","They bake bread at the bakery."
lemon,"chanh","tính từ","The drink has lemon in it."
cafe,"quán cà phê","danh từ","The cafe is cozy."
order,"đặt hàng","động từ","We order coffee at the cafe."
cinnamon,"quế","tính từ","The roll has cinnamon."
sexton,"tiệm tạp hóa","danh từ","The sexton sells groceries."
shop,"mua sắm","động từ","They shop at the sexton."
honey,"mật ong","tính từ","The honey is sweet."
market,"chợ","danh từ","The market is busy."
buy,"mua","động từ","We buy fruits at the market."
vanilla,"hương vani","tính từ","The ice cream is vanilla."
diner,"quán ăn","danh từ","The diner serves breakfast all day."
eat,"ăn","động từ","We eat at the diner."
cocoa,"ca cao","tính từ","The drink is cocoa."
cottage,"nhà tranh","danh từ","The cottage is charming."
stay,"ở lại","động từ","We stay at the cottage for the weekend."
almond,"hạnh nhân","tính từ","The cookie has almond."
orangeade,"quán nước cam","danh từ","The orangeade is refreshing."
drink,"uống","động từ","We drink orangeade at the stand."
peanut,"đậu phộng","tính từ","The snack has peanut."
stall,"quầy hàng","danh từ","The stall sells nuts."
sell,"bán","động từ","They sell peanuts at the stall."
cashew,"hạt điều","tính từ","The mix has cashew."
bazaar,"chợ trời","danh từ","The bazaar is lively."
browse,"duyệt","động từ","We browse items at the bazaar."
pistachio,"hạt dẻ cười","tính từ","The dessert has pistachio."
fair,"hội chợ","danh từ","The fair is fun."
enjoy,"thưởng thức","động từ","We enjoy the fair."
walnut,"hạt óc chó","tính từ","The salad has walnut."
fexa,"chợ phiên","danh từ","The fexa is held every Sunday."
explore,"tham quan","động từ","We explore the fexa for unique items."
pecan,"hạt hồ đào","tính từ","The pie has pecan."
festival,"lễ hội","danh từ","The festival is colorful."
celebrate,"ăn mừng","động từ","We celebrate at the festival."
tomato,"cà chua","tính từ","The sauce has tomato."
farm,"trang trại","danh từ","The farm is large."
harvest,"thu hoạch","động từ","They harvest crops on the farm."
cucumber,"dưa chuột","tính từ","The salad has cucumber."
greenhouse,"nhà kính","danh từ","The greenhouse is full of plants."
grow,"trồng","động từ","We grow vegetables in the greenhouse."
lettuce,"rau diếp","tính từ","The sandwich has lettuce."
vegetable,"rau","danh từ","The vegetable is fresh."
chop,"chặt","động từ","We chop vegetables for the salad."
carrot,"cà rốt","tính từ","The soup has carrot."
garden,"khu vườn","danh từ","The garden is blooming."
tend,"chăm sóc","động từ","They tend the garden daily."
broccoli,"bông cải xanh","tính từ","The dish has broccoli."
orchard,"vườn cây","danh từ","The orchard is beautiful."
computer,"máy tính","danh từ","I use my computer for work."
code,"lập trình","động từ","She can code in Python."
keyboard,"bàn phím","danh từ","The keyboard is wireless."
type,"gõ","động từ","He types quickly."
monitor,"màn hình","danh từ","The monitor is large."
display,"hiển thị","động từ","The monitor displays high resolution."
mouse,"chuột máy tính","danh từ","The mouse is ergonomic."
click,"nhấp chuột","động từ","She clicks the mouse to open files."
printer,"máy in","danh từ","The printer is out of ink."
print,"in ấn","động từ","We print documents at the office."
scanner,"máy quét","danh từ","The scanner is fast."
scan,"quét","động từ","He scans the documents quickly."
router,"bộ định tuyến","danh từ","The router provides internet."
connect,"kết nối","động từ","We connect to the router for Wi-Fi."
software,"phần mềm","danh từ","The software is user-friendly."
install,"cài đặt","động từ","They install new software on the computer."
hardware,"phần cứng","danh từ","The hardware is durable."
upgrade,"nâng cấp","động từ","We upgrade the hardware regularly."
network,"mạng","danh từ","The network is secure."
access,"truy cập","động từ","He accesses the network remotely."
database,"cơ sở dữ liệu","danh từ","The database is well-organized."
manage,"quản lý","động từ","She manages the database efficiently."
firewall,"tường lửa","danh từ","The firewall protects the system."
block,"chặn","động từ","The firewall blocks unauthorized access."
encryption,"mã hóa","danh từ","The encryption is strong."
secure,"bảo mật","động từ","We secure our data with encryption."
backup,"sao lưu","danh từ","The backup is stored safely."
restore,"khôi phục","động từ","They restore files from the backup."
cloud,"đám mây","danh từ","The cloud stores our files."
upload,"tải lên","động từ","We upload documents to the cloud."
download,"tải xuống","động từ","He downloads files from the cloud."
virus,"vi rút","danh từ","The virus infected the computer."
scan,"quét vi rút","động từ","We scan the computer for viruses."
malware,"phần mềm độc hại","danh từ","The malware caused issues."
remove,"gỡ bỏ","động từ","They remove malware from the system."
phishing,"lừa đảo","danh từ","The phishing email was suspicious."
warn,"cảnh báo","động từ","We warn users about phishing scams."
fire,"lửa","danh từ","The fire is warm."
burn,"cháy","động từ","The fire burns brightly."
smoke,"khói","danh từ","The smoke is thick."
extinguish,"dập tắt","động từ","They extinguish the fire quickly."
ash,"tro","danh từ","The ash is gray."
clean,"dọn dẹp","động từ","We clean the ash after the fire."
ember,"tàn tro","danh từ","The ember glows faintly."
glow,"phát sáng","động từ","The ember glows in the dark."
flame,"ngọn lửa","danh từ","The flame is tall."
flicker,"nhấp nháy","động từ","The flame flickers in the wind."
spark,"tia lửa","danh từ","The spark ignites the fire."
ignite,"châm ngòi","động từ","The spark ignites the flame."
cinder,"than hồng","danh từ","The cinder is hot."
scatter,"rải rác","động từ","The cinder scatters in the air."
trash,"rác","danh từ","The trash is full."
dispose,"vứt bỏ","động từ","We dispose of the trash properly."
recycle,"tái chế","động từ","They recycle paper and plastic."
compost,"phân hữu cơ","danh từ","The compost is rich."
decompose,"phân hủy","động từ","We decompose organic waste in the compost."
landfill,"bãi chôn lấp","danh từ","The landfill is large."
manage,"quản lý","động từ","They manage waste at the landfill."
incinerator,"lò đốt rác","danh từ","The incinerator burns waste."
burn,"đốt","động từ","We burn trash in the incinerator."
hazard,"mối nguy hiểm","danh từ","The hazard is marked clearly."
avoid,"tránh","động từ","We avoid hazards in the area."
toxic,"độc hại","tính từ","The substance is toxic."
handle,"xử lý","động từ","They handle toxic materials carefully."
spill,"tràn","động từ","We clean up spills immediately."
leak,"rò rỉ","động từ","The leak is dangerous."
contain,"chứa","động từ","We contain leaks quickly."
protect,"bảo vệ","động từ","We protect the environment."
sustain,"duy trì","động từ","We sustain natural resources."
preserve,"bảo tồn","động từ","We preserve wildlife habitats."
conserve,"bảo tồn","động từ","We conserve water and energy."
educate,"giáo dục","động từ","We educate people about conservation."
advocate,"ủng hộ","động từ","We advocate for environmental protection."
legislate,"lập pháp","động từ","We legislate laws to protect nature
enforce,"thực thi","động từ","We enforce environmental regulations."
monitor,"giám sát","động từ","We monitor pollution levels."
report,"báo cáo","động từ","We report environmental issues."
collaborate,"hợp tác","động từ","We collaborate on conservation projects."
innovate,"đổi mới","động từ","We innovate new solutions for sustainability."
implement,"thực hiện","động từ","We implement green technologies."
evaluate,"đánh giá","động từ","We evaluate environmental impact."
kill,"giết","động từ","The pesticide can kill insects."
apply,"áp dụng","động từ","We apply pesticides carefully."
dickey,"cây dương","danh từ","The dickey is tall."
shade,"che bóng","động từ","The dickey shades the area."
oak,"cây sồi","danh từ","The oak is strong."
police,"cảnh sát","danh từ","The police enforce the law."
arrest,"bắt giữ","động từ","The police arrest criminals."
court,"tòa án","danh từ","The court is in session."
judge,"xét xử","động từ","The judge listens to the case."
jury,"bồi thẩm đoàn","danh từ","The jury deliberates the verdict."
decide,"quyết định","động từ","The jury decides the outcome."
lawyer,"luật sư","danh từ","The lawyer defends clients."
advise,"tư vấn","động từ","The lawyer advises on legal matters."
trial,"phiên tòa","danh từ","The trial lasts for days."
testify,"làm chứng","động từ","Witnesses testify in court."
sentence,"bản án","danh từ","The sentence is fair."
punish,"trừng phạt","động từ","The judge punishes offenders."
appeal,"kháng cáo","động từ","The lawyer appeals the decision."
evidence,"bằng chứng","danh từ","The evidence is strong."
present,"trình bày","động từ","We present evidence in court."
witness,"nhân chứng","danh từ","The witness tells the truth."
observe,"quan sát","động từ","The witness observes the events."
verdict,"phán quyết","danh từ","The verdict is final."
announce,"thông báo","động từ","The judge announces the verdict."
sentence,"kết án","động từ","The judge sentences the defendant."
fine,"phạt tiền","danh từ","The fine is hefty."
pay,"trả tiền","động từ","The defendant pays the fine."
bail,"tiền bảo lãnh","danh từ","The bail is set high."
post,"đăng","động từ","The defendant posts bail."
convict,"kết án","danh từ","The convict is in prison."
imprison,"tống giam","động từ","The court imprisons the convict."
parole,"tạm tha","danh từ","The parole is granted."
release,"phóng thích","động từ","The convict is released on parole."
probation,"thời gian thử thách","danh từ","The probation is strict."
supervise,"giám sát","động từ","The officer supervises probationers."
rehabilitate,"cải tạo","động từ","The program rehabilitates offenders."
reinstate,"phục hồi","động từ","The court reinstates rights after probation."
restore,"khôi phục","động từ","The program restores lives."
community,"cộng đồng","danh từ","The community is supportive."
serve,"phục vụ","động từ","Offenders serve the community."
volunteer,"tình nguyện","động từ","They volunteer for community service."
mentor,"người hướng dẫn","danh từ","The mentor guides new offenders."
support,"hỗ trợ","động từ","The mentor supports personal growth."
hero,"anh hùng","danh từ","The hero saves the day."
inspire,"truyền cảm hứng","động từ","The hero inspires others."
lead,"dẫn dắt","động từ","The hero leads the team."
rescue,"cứu hộ","động từ","The hero rescues people in danger."
brave,"dũng cảm","tính từ","The hero is brave."
honor,"vinh danh","động từ","The hero is honored for bravery."
medal,"huy chương","danh từ","The medal is awarded."
receive,"nhận","động từ","The hero receives a medal."
tribute,"lời tri ân","danh từ","The tribute is heartfelt."
pay,"trả","động từ","We pay tribute to the hero."
celebrity,"người nổi tiếng","danh từ","The celebrity is famous."
admire,"ngưỡng mộ","động từ","Fans admire the celebrity."
interview,"phỏng vấn","động từ","The journalist interviews the celebrity."
paparazzi,"phóng viên săn tin","danh từ","The paparazzi follow celebrities."
photograph,"chụp ảnh","động từ","The paparazzi photograph celebrities."
autograph,"chữ ký","danh từ","The autograph is signed."
sign,"ký tên","động từ","The celebrity signs autographs."
fan,"người hâm mộ","danh từ","The fan is excited."
cheer,"hò reo","động từ","The fan cheers loudly."
concert,"buổi hòa nhạc","danh từ","The concert is amazing."
perform,"biểu diễn","động từ","The band performs at the concert."
album,"album","danh từ","The album is popular."
release,"phát hành","động từ","The band releases a new album."
tour,"chuyến lưu diễn","danh từ","The tour is sold out."
travel,"du lịch","động từ","The band travels for the tour."
stage,"sân khấu","danh từ","The stage is set."
enter,"bước lên","động từ","The band enters the stage."
microphone,"micro","danh từ","The microphone is on."
speak,"nói","động từ","The singer speaks into the microphone."
spotlight,"đèn chiếu sáng","danh từ","The spotlight is bright."
illuminate,"chiếu sáng","động từ","The spotlight illuminates the stage."
backstage,"hậu trường","danh từ","The backstage is busy."
dog,"con chó","danh từ","The dog is barking loudly."
cat,"con mèo","danh từ","My cat loves sleeping on the sofa."
bird,"con chim","danh từ","That bird is singing beautifully."
fish,"con cá","danh từ","I bought a fish at the market."
horse,"con ngựa","danh từ","The horse is running in the field."
cow,"con bò","danh từ","The cow gives us milk."
pig,"con lợn","danh từ","The pig is eating in the farmyard."
chicken,"con gà","danh từ","The chicken laid an egg."
duck,"con vịt","danh từ","The duck is swimming in the pond."
sheep,"con cừu","danh từ","The sheep has very soft wool."
goat,"con dê","danh từ","The goat is climbing the hill."
elephant,"con voi","danh từ","The elephant has a long trunk."
tiger,"con hổ","danh từ","The tiger is very strong."
lion,"sư tử","danh từ","The lion is the king of the jungle."
monkey,"con khỉ","danh từ","The monkey is eating a banana."
rabbit,"con thỏ","danh từ","The rabbit is very cute."
snake,"con rắn","danh từ","The snake is hiding under the rock."
frog,"con ếch","danh từ","The frog is jumping into the water."
bear,"con gấu","danh từ","The bear is catching fish."
parrot,"con vẹt","danh từ","The parrot can talk."
wolf,"con sói","danh từ","The wolf howls at night."
fox,"con cáo","danh từ","The fox is very clever."
deer,"con nai","danh từ","The deer is running through the forest."
giraffe,"con hươu cao cổ","danh từ","The giraffe has a very long neck."
zebra,"ngựa vằn","danh từ","The zebra has black and white stripes."
kangaroo,"con chuột túi","danh từ","The kangaroo jumps high."
panda,"gấu trúc","danh từ","The panda is eating bamboo."
dolphin,"cá heo","danh từ","The dolphin is swimming in the sea."
shark,"cá mập","danh từ","The shark has sharp teeth."
whale,"cá voi","danh từ","The whale is the largest animal in the ocean."
crocodile,"cá sấu","danh từ","The crocodile is waiting in the river."
eagle,"đại bàng","danh từ","The eagle can fly very high."
owl,"con cú","danh từ","The owl can see well at night."
bat,"con dơi","danh từ","The bat sleeps during the day."
penguin,"chim cánh cụt","danh từ","The penguin lives in cold places."
seal,"hải cẩu","danh từ","The seal is clapping its flippers."
octopus,"bạch tuộc","danh từ","The octopus has eight arms."
crab,"con cua","danh từ","The crab is walking sideways."
butterfly,"con bướm","danh từ","The butterfly is very colorful."
ant,"con kiến","danh từ","The ant is carrying food."
TiengAnh,TiengViet,TuLoai,ViDu
sun,"mặt trời","danh từ","The sun shines brightly over the beach."
rain,"mưa","danh từ","It started to rain while we were playing football."
storm,"bão","danh từ","A strong storm destroyed many houses last night."
snow,"tuyết","danh từ","Children are making a snowman in the yard."
cloud,"đám mây","danh từ","Dark clouds covered the mountains."
wind,"gió","danh từ","The wind blew the hat off her head."
fog,"sương mù","danh từ","Thick fog made it hard to see the road."
lightning,"tia chớp","danh từ","Lightning lit up the sky for a second."
thunder,"sấm","danh từ","We heard loud thunder after the flash of lightning."
hail,"mưa đá","danh từ","Hail damaged the cars parked outside."
temperature,"nhiệt độ","danh từ","The temperature dropped below zero last night."
climate,"khí hậu","danh từ","Vietnam has a tropical climate."
heat,"cái nóng","danh từ","The heat in the desert is unbearable."
cold,"cái lạnh","danh từ","I love the fresh cold of winter mornings."
breeze,"làn gió nhẹ","danh từ","A gentle breeze cooled the afternoon air."
hurricane,"cuồng phong","danh từ","The hurricane forced thousands to leave their homes."
drought,"hạn hán","danh từ","The drought lasted for several months."
flood,"lũ lụt","danh từ","The flood destroyed many rice fields."
rainbow,"cầu vồng","danh từ","A beautiful rainbow appeared after the rain."
dew,"sương","danh từ","Morning dew covered the grass with tiny drops of water."
hurricane,"bão lớn, cuồng phong","danh từ","A hurricane hit the coast and caused massive damage."
typhoon,"bão nhiệt đới (châu Á)","danh từ","The typhoon brought heavy rain to the region."
cyclone,"lốc xoáy nhiệt đới","danh từ","A cyclone formed over the Indian Ocean."
tornado,"lốc xoáy","danh từ","A tornado destroyed several houses in the village."
twister,"cơn lốc xoáy","danh từ","The twister lifted cars off the ground."
storm,"cơn bão","danh từ","The storm knocked down many trees."
thunderstorm,"dông bão","danh từ","A thunderstorm is approaching from the west."
blizzard,"bão tuyết","danh từ","The blizzard covered the city in deep snow."
sandstorm,"bão cát","danh từ","A sandstorm reduced visibility to almost zero."
dust storm,"bão bụi","danh từ","The dust storm made it hard to breathe."
ice storm,"bão băng","danh từ","An ice storm damaged the power lines."
windstorm,"bão gió","danh từ","The windstorm broke windows and roofs."
hailstorm,"mưa đá dữ dội","danh từ","A hailstorm smashed the car windows."
rainstorm,"mưa bão","danh từ","We got caught in a sudden rainstorm."
snowstorm,"bão tuyết","danh từ","The snowstorm blocked all the roads."
gale,"gió mạnh, gió bão","danh từ","A gale blew across the sea, rocking the boats."
tempest,"cơn bão dữ dội","danh từ","A violent tempest swept through the valley."
monsoon,"gió mùa, mưa mùa","danh từ","The monsoon season lasts for months in this country."
squall,"cơn gió giật mạnh kèm mưa","danh từ","A sudden squall hit the sailors at sea."
super typhoon,"siêu bão","danh từ","The super typhoon was the strongest in decades."
car,"xe ô tô","danh từ","She drives her car to work every morning."
bus,"xe buýt","danh từ","The bus was crowded during rush hour."
motorcycle,"xe máy","danh từ","He sped past us on his motorcycle."
bicycle,"xe đạp","danh từ","We rode our bicycles along the riverside."
train,"tàu hỏa","danh từ","The train arrived at the station on time."
subway,"tàu điện ngầm","danh từ","I take the subway to get to school."
tram,"xe điện","danh từ","The tram passed through the city center."
airplane,"máy bay","danh từ","The airplane soared above the clouds."
helicopter,"trực thăng","danh từ","The helicopter rescued people from the flood."
boat,"thuyền","danh từ","We went fishing on a small boat yesterday."
ship,"tàu lớn","danh từ","The ship carried thousands of containers across the ocean."
scooter,"xe tay ga","danh từ","He commutes to work on his scooter."
taxi,"xe taxi","danh từ","A taxi picked us up from the airport."
van,"xe tải nhỏ","danh từ","The van delivered goods to the shop."
truck,"xe tải","danh từ","The truck blocked the road with a broken axle."
ferry,"phà","danh từ","We took a ferry to cross the river."
rickshaw,"xe xích lô","danh từ","Tourists rode in rickshaws around the old town."
cable car,"cáp treo","danh từ","The cable car gave us a stunning view of the mountains."
skateboard,"ván trượt","danh từ","He practiced tricks on his skateboard at the park."
hot air balloon,"khinh khí cầu","danh từ","They flew over the valley in a hot air balloon."
traffic light,"đèn giao thông","danh từ","The traffic light turned red just as I reached the intersection."
crosswalk,"vạch sang đường","danh từ","Pedestrians waited patiently at the crosswalk."
roundabout,"vòng xuyến","danh từ","Cars slowed down to enter the roundabout safely."
intersection,"ngã tư","danh từ","There was an accident at the busy intersection."
highway,"đường cao tốc","danh từ","We drove on the highway for several hours."
bridge,"cầu","danh từ","The bridge collapsed after the heavy flood."
tunnel,"đường hầm","danh từ","The tunnel under the river connects two cities."
parking lot,"bãi đậu xe","danh từ","The parking lot was full during the concert."
pedestrian,"người đi bộ","danh từ","A pedestrian waved to the driver for help."
speed bump,"gờ giảm tốc","danh từ","Cars slowed down when approaching the speed bump."
bus stop,"trạm xe buýt","danh từ","People waited at the bus stop in the rain."
railway crossing,"ngã tư đường sắt","danh từ","The train whistle warned drivers at the railway crossing."
ticket booth,"quầy bán vé","danh từ","We bought tickets at the ticket booth before boarding."
taxi stand,"bến taxi","danh từ","A long line formed at the taxi stand after the game."
one-way street,"đường một chiều","danh từ","Drivers must follow the signs on the one-way street."
round-trip,"chuyến đi khứ hồi","danh từ","We booked a round-trip ticket to Da Nang."
detour,"đường vòng","danh từ","The road was closed, so we had to take a detour."
bicycle lane,"làn đường xe đạp","danh từ","Cyclists rode safely in the bicycle lane."
traffic jam,"kẹt xe","danh từ","We were stuck in a traffic jam for over an hour."
toll booth,"trạm thu phí","danh từ","Cars lined up at the toll booth on the highway."
accident,"tai nạn","danh từ","There was a minor accident at the intersection this morning."
collision,"va chạm","danh từ","A collision between two cars blocked the road."
breakdown,"hỏng xe","danh từ","His car had a breakdown on the highway."
flat tire,"xì lốp","danh từ","I got a flat tire while cycling to work."
roadblock,"chướng ngại vật trên đường","danh từ","The police set up a roadblock to control traffic."
skid,"trượt bánh xe","danh từ","The car skidded on the icy road."
hit-and-run,"tai nạn bỏ chạy","danh từ","He reported a hit-and-run outside the mall."
rear-end,"đâm từ phía sau","danh từ","A truck rear-ended the car in front."
swerve,"rẽ đột ngột","động từ","She had to swerve to avoid hitting a dog."
pile-up,"va chạm liên hoàn","danh từ","A pile-up occurred on the freeway during rush hour."
road rage,"cơn giận trên đường","danh từ","He shouted at another driver in a case of road rage."
drunk driving,"lái xe khi say","danh từ","Drunk driving caused many accidents last year."
speeding,"lái quá tốc độ","danh từ","Speeding is one of the main causes of crashes."
hit a pedestrian,"tông người đi bộ","động từ","The car accidentally hit a pedestrian at the crosswalk."
run a red light,"vượt đèn đỏ","động từ","He ran a red light and got a ticket."
rearview mirror,"gương chiếu hậu","danh từ","Check your rearview mirror before changing lanes."
traffic violation,"vi phạm giao thông","danh từ","Traffic violations can result in fines."
overturn,"lật xe","động từ","The truck overturned on the slippery road."
emergency brake,"phanh khẩn cấp","danh từ","She pulled the emergency brake to avoid the collision."
road accident report,"biên bản tai nạn giao thông","danh từ","The police filed a road accident report after the crash."
soccer,"bóng đá","danh từ","They played soccer in the park all afternoon."
basketball,"bóng rổ","danh từ","She scored the winning point in the basketball match."
tennis,"quần vợt","danh từ","He practices tennis every weekend."
volleyball,"bóng chuyền","danh từ","The volleyball bounced off her hands during the game."
swimming,"bơi lội","danh từ","Swimming in the lake was refreshing on a hot day."
running,"chạy","danh từ","Running every morning keeps him healthy."
cycling,"đạp xe","danh từ","Cycling along the riverside is relaxing."
gymnastics,"thể dục dụng cụ","danh từ","She performed an amazing routine in gymnastics."
boxing,"quyền Anh","danh từ","Boxing requires strength and agility."
martial arts,"võ thuật","danh từ","He has trained in martial arts since childhood."
skiing,"trượt tuyết","danh từ","Skiing down the slope was thrilling."
snowboarding,"trượt ván trên tuyết","danh từ","Snowboarding is more challenging than skiing."
archery,"bắn cung","danh từ","He hit the target perfectly in archery."
fencing,"đấu kiếm","danh từ","Fencing requires quick reflexes and strategy."
golf,"gôn","danh từ","They played golf on a sunny afternoon."
cricket,"bóng gậy","danh từ","Cricket matches are popular in many countries."
rugby,"bóng bầu dục","danh từ","Rugby is a tough and physical sport."
badminton,"cầu lông","danh từ","She enjoys playing badminton with her friends."
table tennis,"bóng bàn","danh từ","They played table tennis in the garage."
hockey,"khúc côn cầu","danh từ","Hockey is very popular in Canada and Europe."
athlete,"vận động viên","danh từ","The athlete trained for hours every day."
coach,"huấn luyện viên","danh từ","The coach gave the team new strategies."
referee,"trọng tài","danh từ","The referee blew the whistle to stop the game."
captain,"đội trưởng","danh từ","The captain motivated the team before the match."
teammate,"đồng đội","danh từ","He helped his teammate score a goal."
opponent,"đối thủ","danh từ","The opponent was very skilled and fast."
player,"cầu thủ","danh từ","Each player must follow the rules of the game."
substitute,"dự bị","danh từ","The substitute entered the match in the second half."
champion,"nhà vô địch","danh từ","She became the champion after a tough competition."
competitor,"người tham gia thi đấu","danh từ","Every competitor received a medal at the end."
goalkeeper,"thủ môn","danh từ","The goalkeeper made an amazing save."
striker,"tiền đạo","danh từ","The striker scored two goals in the final match."
midfielder,"tiền vệ","danh từ","The midfielder controlled the pace of the game."
defender,"hậu vệ","danh từ","The defender blocked every attempt from the opponent."
runner,"người chạy","danh từ","The runner crossed the finish line first."
sprinter,"vận động viên chạy nước rút","danh từ","The sprinter set a new record in the 100m race."
jumper,"vận động viên nhảy","danh từ","The jumper cleared the bar effortlessly."
weightlifter,"vận động viên cử tạ","danh từ","The weightlifter lifted more than his own body weight."
swimmer,"vận động viên bơi lội","danh từ","The swimmer won three gold medals at the championship."
gymnast,"vận động viên thể dục dụng cụ","danh từ","The gymnast performed a flawless routine on the balance beam."
music,"âm nhạc","danh từ","She listens to music every evening to relax."
song,"bài hát","danh từ","His favorite song just came on the radio."
melody,"giai điệu","danh từ","The melody of that song is very catchy."
rhythm,"nhịp điệu","danh từ","The rhythm of the drum kept everyone dancing."
instrument,"nhạc cụ","danh từ","He plays several instruments, including the guitar and piano."
guitar,"đàn guitar","danh từ","The guitar solo impressed the audience."
piano,"đàn piano","danh từ","She practiced piano for two hours today."
violin,"đàn violin","danh từ","The violin added emotion to the performance."
drum,"trống","danh từ","The drumbeat energized the crowd."
flute,"sáo","danh từ","The flute melody floated softly through the hall."
band,"ban nhạc","danh từ","The band performed live at the festival."
orchestra,"dàn nhạc giao hưởng","danh từ","The orchestra played Beethoven's Ninth Symphony."
singer,"ca sĩ","danh từ","The singer received a standing ovation."
composer,"nhạc sĩ","danh từ","The composer wrote many famous pieces of classical music."
choir,"dàn hợp xướng","danh từ","The choir sang beautifully during the ceremony."
concert,"buổi hòa nhạc","danh từ","We attended a concert at the open-air stadium."
album,"album","danh từ","The band released a new album last month."
lyrics,"lời bài hát","danh từ","The lyrics of the song are very touching."
genre,"thể loại nhạc","danh từ","Rock is his favorite music genre."
performance,"buổi biểu diễn","danh từ","Her performance on stage captivated the audience."
bass,"đàn bass","danh từ","The bass guitar added depth to the song."
saxophone,"kèn saxophone","danh từ","He played the saxophone during the jazz performance."
